,suburb,rooms,type,price,method,sellerg,distance,bedroom2,bathroom,car,landsize,yearbuilt,councilarea,regionname,year,month,day,season
50,Airport West,2,u,530000.0,S,Nelson,13.5,2.0,1.0,1.0,120.0,2012.0,Moonee Valley,Western Metropolitan,2016,10,9,Autumn
51,Airport West,3,h,895000.0,PI,Rendina,13.5,3.0,1.0,6.0,1063.0,1975.0,Moonee Valley,Western Metropolitan,2016,10,9,Autumn
52,Airport West,3,h,805000.0,S,Nelson,13.5,3.0,1.0,1.0,0.0,1950.0,Moonee Valley,Western Metropolitan,2016,10,12,Autumn
53,Airport West,3,u,752000.0,S,Nelson,13.5,3.0,1.0,1.0,265.0,1993.0,Moonee Valley,Western Metropolitan,2017,11,2,Autumn
54,Airport West,2,u,440000.0,S,Barry,13.5,2.0,1.0,1.0,192.0,,Moonee Valley,Western Metropolitan,2016,8,13,Summer
55,Airport West,5,h,755000.0,PI,Propertyau,13.5,3.0,2.0,2.0,596.0,,Moonee Valley,Western Metropolitan,2016,5,14,Spring
56,Airport West,3,t,700000.0,PI,Brad,13.5,3.0,2.0,2.0,165.0,2009.0,Moonee Valley,Western Metropolitan,2016,10,15,Autumn
57,Airport West,3,h,830000.0,S,Barry,13.5,3.0,1.0,2.0,971.0,1960.0,Moonee Valley,Western Metropolitan,2016,4,16,Spring
58,Airport West,2,u,462500.0,S,Barry,13.5,2.0,1.0,1.0,164.0,2003.0,Moonee Valley,Western Metropolitan,2016,7,16,Summer
59,Airport West,3,h,670000.0,SP,Barry,13.5,3.0,2.0,2.0,657.0,,Moonee Valley,Western Metropolitan,2016,7,16,Summer
60,Airport West,2,h,675000.0,S,Barry,13.5,2.0,1.0,1.0,612.0,1975.0,Moonee Valley,Western Metropolitan,2016,7,16,Summer
61,Airport West,3,h,1042000.0,S,Nelson,13.5,3.0,2.0,5.0,612.0,1950.0,Moonee Valley,Western Metropolitan,2016,7,16,Summer
62,Airport West,3,h,910000.0,S,McDonald,13.5,3.0,1.0,1.0,775.0,,Moonee Valley,Western Metropolitan,2016,9,17,Autumn
63,Airport West,4,h,773000.0,S,Brad,13.5,5.0,3.0,4.0,531.0,1980.0,Moonee Valley,Western Metropolitan,2016,9,17,Autumn
64,Airport West,3,h,810000.0,PI,Barry,13.5,3.0,3.0,2.0,555.0,1980.0,Moonee Valley,Western Metropolitan,2017,3,18,Spring
65,Airport West,3,h,715000.0,S,Rendina,13.5,3.0,2.0,2.0,422.0,1995.0,Moonee Valley,Western Metropolitan,2017,3,18,Spring
66,Airport West,3,h,790000.0,S,Nelson,13.5,3.0,1.0,3.0,614.0,,Moonee Valley,Western Metropolitan,2017,3,18,Spring
67,Airport West,3,t,540000.0,SP,Nelson,13.5,2.0,2.0,1.0,161.0,2010.0,Moonee Valley,Western Metropolitan,2016,6,18,Summer
68,Airport West,3,t,825000.0,SP,Barry,13.5,3.0,2.0,1.0,293.0,1960.0,Moonee Valley,Western Metropolitan,2016,11,19,Autumn
69,Airport West,3,h,685000.0,S,Barry,13.5,3.0,1.0,1.0,579.0,1975.0,Moonee Valley,Western Metropolitan,2016,5,22,Spring
70,Airport West,3,h,805000.0,S,Barry,13.5,3.0,1.0,1.0,623.0,,Moonee Valley,Western Metropolitan,2016,8,22,Summer
71,Airport West,2,u,510000.0,S,Nelson,13.5,2.0,1.0,1.0,141.0,,Moonee Valley,Western Metropolitan,2016,8,22,Summer
72,Airport West,3,h,612000.0,S,Nelson,13.5,3.0,2.0,1.0,212.0,,Moonee Valley,Western Metropolitan,2016,8,22,Summer
73,Airport West,3,h,662000.0,S,Brad,13.5,3.0,1.0,2.0,612.0,,Moonee Valley,Western Metropolitan,2016,4,23,Spring
74,Airport West,4,h,978000.0,S,Nelson,13.5,4.0,3.0,2.0,532.0,,Moonee Valley,Western Metropolitan,2016,9,24,Autumn
75,Airport West,3,h,720000.0,PI,Nelson,13.5,3.0,1.0,1.0,585.0,,Moonee Valley,Western Metropolitan,2017,2,25,Winter
76,Airport West,4,h,765000.0,S,Prof.,13.5,4.0,1.0,2.0,509.0,,Moonee Valley,Western Metropolitan,2016,11,27,Autumn
77,Airport West,4,h,900000.0,S,Harcourts,13.5,4.0,2.0,3.0,628.0,1975.0,Moonee Valley,Western Metropolitan,2016,11,27,Autumn
78,Albert Park,2,h,1275000.0,S,hockingstuart,3.3,2.0,1.0,0.0,120.0,1900.0,Port Phillip,Southern Metropolitan,2016,3,9,Spring
79,Albert Park,2,h,1455000.0,S,Thomson,3.3,2.0,1.0,0.0,159.0,,Port Phillip,Southern Metropolitan,2016,3,9,Spring
80,Albert Park,3,h,2850000.0,PI,Buxton,3.3,3.0,2.0,0.0,211.0,1890.0,Port Phillip,Southern Metropolitan,2017,4,3,Spring
81,Albert Park,3,h,1850000.0,S,Greg,3.3,3.0,2.0,0.0,128.0,1890.0,Port Phillip,Southern Metropolitan,2017,4,3,Spring
82,Albert Park,2,h,1436000.0,S,RT,3.3,2.0,1.0,0.0,130.0,1900.0,Port Phillip,Southern Metropolitan,2017,4,3,Spring
83,Albert Park,2,h,1110000.0,S,Marshall,3.3,1.0,1.0,0.0,147.0,1900.0,Port Phillip,Southern Metropolitan,2016,6,8,Summer
84,Albert Park,2,h,1550000.0,S,Sotheby's,3.3,2.0,1.0,1.0,167.0,,Port Phillip,Southern Metropolitan,2016,7,5,Summer
85,Albert Park,4,h,2300000.0,S,Marshall,3.3,4.0,2.0,1.0,153.0,1880.0,Port Phillip,Southern Metropolitan,2016,7,5,Summer
86,Albert Park,3,t,1550000.0,VB,Marshall,3.3,3.0,2.0,2.0,718.0,,Port Phillip,Southern Metropolitan,2016,7,11,Summer
87,Albert Park,3,h,1800000.0,VB,Greg,3.3,3.0,2.0,1.0,132.0,1996.0,Port Phillip,Southern Metropolitan,2016,7,11,Summer
88,Albert Park,2,h,2120000.0,S,Greg,3.3,2.0,1.0,1.0,199.0,1900.0,Port Phillip,Southern Metropolitan,2016,10,9,Autumn
89,Albert Park,3,h,1800000.0,VB,Cayzer,3.3,3.0,1.0,1.0,253.0,,Port Phillip,Southern Metropolitan,2016,10,9,Autumn
90,Albert Park,3,h,1800000.0,S,Marshall,3.3,3.0,2.0,1.0,90.0,1900.0,Port Phillip,Southern Metropolitan,2016,10,9,Autumn
91,Albert Park,2,h,1810000.0,PI,Greg,3.3,2.0,1.0,0.0,240.0,,Port Phillip,Southern Metropolitan,2016,10,12,Autumn
92,Albert Park,3,h,2615000.0,S,Cayzer,3.3,3.0,2.0,1.0,177.0,1880.0,Port Phillip,Southern Metropolitan,2016,10,12,Autumn
93,Albert Park,5,h,2100000.0,S,Greg,3.3,5.0,2.0,1.0,237.0,,Port Phillip,Southern Metropolitan,2016,10,12,Autumn
94,Albert Park,3,h,1300000.0,S,hockingstuart,3.3,3.0,1.0,0.0,129.0,,Port Phillip,Southern Metropolitan,2016,10,12,Autumn
95,Albert Park,3,h,1370000.0,S,Greg,3.3,3.0,2.0,2.0,0.0,2000.0,Port Phillip,Southern Metropolitan,2016,12,6,Winter
96,Albert Park,2,h,1000000.0,S,Cayzer,3.3,2.0,1.0,0.0,288.0,,Port Phillip,Southern Metropolitan,2016,12,11,Winter
97,Albert Park,3,h,2575000.0,S,Greg,3.3,3.0,2.0,1.0,228.0,,Port Phillip,Southern Metropolitan,2016,10,15,Autumn
98,Albert Park,2,h,1322500.0,S,Greg,3.3,2.0,1.0,0.0,149.0,1890.0,Port Phillip,Southern Metropolitan,2016,10,15,Autumn
99,Albert Park,2,h,1562500.0,S,Greg,3.3,2.0,1.0,0.0,141.0,1890.0,Port Phillip,Southern Metropolitan,2016,10,15,Autumn
100,Albert Park,3,h,2000000.0,VB,RT,3.3,3.0,2.0,1.0,211.0,1900.0,Port Phillip,Southern Metropolitan,2016,4,16,Spring
101,Albert Park,3,h,1900000.0,S,Greg,3.3,3.0,1.0,0.0,209.0,1900.0,Port Phillip,Southern Metropolitan,2017,3,18,Spring
102,Albert Park,3,h,3010000.0,S,Greg,3.3,3.0,2.0,0.0,147.0,1890.0,Port Phillip,Southern Metropolitan,2017,3,18,Spring
103,Albert Park,4,h,2800000.0,VB,Cayzer,3.3,4.0,3.0,1.0,327.0,1910.0,Port Phillip,Southern Metropolitan,2016,6,18,Summer
104,Albert Park,2,u,647000.0,S,Greg,3.3,2.0,1.0,1.0,0.0,,Port Phillip,Southern Metropolitan,2016,5,22,Spring
105,Albert Park,3,h,2100000.0,SP,Marshall,3.3,2.0,1.0,1.0,120.0,1900.0,Port Phillip,Southern Metropolitan,2016,4,23,Spring
106,Albert Park,3,h,2000000.0,PI,Marshall,3.3,3.0,1.0,1.0,238.0,1890.0,Port Phillip,Southern Metropolitan,2016,9,24,Autumn
107,Albert Park,1,u,442500.0,S,Marshall,3.3,1.0,1.0,0.0,0.0,1970.0,Port Phillip,Southern Metropolitan,2017,2,25,Winter
108,Albert Park,4,h,4735000.0,S,Marshall,3.3,4.0,2.0,1.0,330.0,1910.0,Port Phillip,Southern Metropolitan,2017,2,25,Winter
109,Albert Park,2,h,1340000.0,S,Greg,3.3,2.0,1.0,0.0,136.0,,Port Phillip,Southern Metropolitan,2017,2,25,Winter
110,Albert Park,3,h,1801000.0,S,hockingstuart,3.3,3.0,1.0,1.0,202.0,,Port Phillip,Southern Metropolitan,2017,2,25,Winter
111,Albert Park,3,h,1532000.0,S,Chisholm,3.3,3.0,3.0,1.0,0.0,,Port Phillip,Southern Metropolitan,2016,7,26,Summer
112,Albert Park,3,h,3755000.0,S,Greg,3.3,3.0,2.0,2.0,325.0,,Port Phillip,Southern Metropolitan,2016,7,26,Summer
113,Albert Park,4,h,2140000.0,S,Greg,3.3,3.0,2.0,1.0,183.0,1880.0,Port Phillip,Southern Metropolitan,2016,6,27,Summer
114,Albert Park,2,h,1750000.0,S,Marshall,3.3,2.0,1.0,1.0,162.0,,Port Phillip,Southern Metropolitan,2016,11,27,Autumn
115,Albert Park,2,h,980000.0,S,Greg,3.3,2.0,1.0,0.0,79.0,1890.0,Port Phillip,Southern Metropolitan,2016,5,28,Spring
116,Albert Park,3,h,2030000.0,S,hockingstuart,3.3,3.0,2.0,0.0,152.0,,Port Phillip,Southern Metropolitan,2016,8,28,Summer
117,Albert Park,3,h,1740000.0,PI,Marshall,3.3,3.0,2.0,2.0,147.0,1890.0,Port Phillip,Southern Metropolitan,2016,8,28,Summer
118,Albert Park,3,h,2800000.0,VB,Buxton,3.3,3.0,3.0,1.0,0.0,,Port Phillip,Southern Metropolitan,2016,7,30,Summer
119,Albert Park,1,h,985000.0,S,Marshall,3.3,1.0,1.0,0.0,81.0,1900.0,Port Phillip,Southern Metropolitan,2016,7,30,Summer
120,Alphington,4,h,2000000.0,S,Brace,6.4,3.0,2.0,4.0,853.0,1930.0,Darebin,Northern Metropolitan,2016,3,9,Spring
121,Alphington,3,h,1110000.0,S,Jellis,6.4,3.0,2.0,2.0,208.0,2013.0,Yarra,Northern Metropolitan,2016,3,9,Spring
122,Alphington,3,h,1492000.0,S,Jellis,6.4,3.0,2.0,2.0,411.0,,Darebin,Northern Metropolitan,2017,4,3,Spring
123,Alphington,4,h,1717500.0,S,Collins,6.4,4.0,2.0,1.0,599.0,1925.0,Darebin,Northern Metropolitan,2016,8,10,Summer
124,Alphington,5,h,2840000.0,S,Nelson,6.4,5.0,4.0,4.0,809.0,1910.0,Darebin,Northern Metropolitan,2016,12,6,Winter
125,Alphington,2,u,525500.0,S,Miles,6.4,2.0,1.0,1.0,88.0,1960.0,Darebin,Northern Metropolitan,2016,12,11,Winter
126,Alphington,2,t,805000.0,S,Miles,6.4,2.0,2.0,3.0,155.0,2004.0,Darebin,Northern Metropolitan,2016,12,11,Winter
127,Alphington,2,u,465000.0,S,McGrath,6.4,2.0,1.0,1.0,0.0,,Darebin,Northern Metropolitan,2016,12,11,Winter
128,Alphington,3,h,2000000.0,PI,hockingstuart,6.4,3.0,3.0,2.0,686.0,,Darebin,Northern Metropolitan,2016,10,15,Autumn
129,Alphington,3,h,1540000.0,S,Nelson,6.4,3.0,1.0,2.0,592.0,,Darebin,Northern Metropolitan,2016,4,16,Spring
130,Alphington,2,u,820000.0,S,Nelson,6.4,2.0,1.0,1.0,183.0,,Darebin,Northern Metropolitan,2017,3,18,Spring
131,Alphington,4,h,1830000.0,S,Nelson,6.4,4.0,2.0,2.0,606.0,1970.0,Darebin,Northern Metropolitan,2016,11,19,Autumn
132,Alphington,4,h,2100000.0,S,Nelson,6.4,4.0,2.0,2.0,575.0,2008.0,Darebin,Northern Metropolitan,2016,11,19,Autumn
133,Alphington,3,h,865000.0,SP,hockingstuart,6.4,3.0,1.0,1.0,180.0,2010.0,Darebin,Northern Metropolitan,2016,5,22,Spring
134,Alphington,2,u,390000.0,VB,Nelson,6.4,2.0,1.0,1.0,0.0,1960.0,Darebin,Northern Metropolitan,2016,5,22,Spring
135,Alphington,2,t,650000.0,SP,Brace,6.4,0.0,1.0,0.0,0.0,,Yarra,Northern Metropolitan,2016,9,24,Autumn
136,Alphington,2,u,512000.0,S,Love,6.4,2.0,1.0,1.0,0.0,1965.0,Darebin,Northern Metropolitan,2017,2,25,Winter
137,Alphington,3,h,1165000.0,S,Barry,6.4,3.0,1.0,2.0,979.0,,Yarra,Northern Metropolitan,2016,6,27,Summer
138,Alphington,4,h,1900000.0,SP,McGrath,6.4,4.0,2.0,2.0,556.0,1930.0,Yarra,Northern Metropolitan,2016,11,27,Autumn
139,Alphington,3,h,1485000.0,SP,McGrath,6.4,3.0,0.0,0.0,597.0,,Darebin,Northern Metropolitan,2016,8,28,Summer
140,Alphington,4,h,1950000.0,S,Jellis,6.4,4.0,2.0,3.0,589.0,1920.0,Darebin,Northern Metropolitan,2016,7,30,Summer
141,Altona,3,h,520000.0,VB,Greg,13.8,3.0,2.0,1.0,352.0,2015.0,Hobsons Bay,Western Metropolitan,2016,3,9,Spring
142,Altona,5,h,1525000.0,S,Greg,13.8,5.0,3.0,3.0,729.0,2005.0,Hobsons Bay,Western Metropolitan,2016,3,12,Spring
143,Altona,2,t,720000.0,S,hockingstuart,13.8,2.0,1.0,2.0,292.0,2013.0,Hobsons Bay,Western Metropolitan,2016,4,2,Spring
144,Altona,3,h,1120000.0,S,Barlow,13.8,3.0,1.0,2.0,506.0,1930.0,Hobsons Bay,Western Metropolitan,2017,4,3,Spring
145,Altona,4,h,780000.0,PI,Sweeney,13.8,4.0,1.0,4.0,655.0,,Hobsons Bay,Western Metropolitan,2016,4,6,Spring
146,Altona,4,h,1780000.0,SP,Greg,13.8,4.0,3.0,6.0,1057.0,1962.0,Hobsons Bay,Western Metropolitan,2016,4,6,Spring
147,Altona,3,u,630000.0,S,Barlow,13.8,2.0,1.0,2.0,311.0,1955.0,Hobsons Bay,Western Metropolitan,2016,6,8,Summer
148,Altona,2,u,406000.0,SP,hockingstuart,13.8,2.0,1.0,1.0,65.0,,Hobsons Bay,Western Metropolitan,2016,6,8,Summer
149,Altona,3,h,660000.0,VB,Greg,13.8,3.0,1.0,1.0,602.0,1955.0,Hobsons Bay,Western Metropolitan,2016,7,5,Summer
150,Altona,3,h,683500.0,S,Greg,13.8,3.0,1.0,1.0,530.0,,Hobsons Bay,Western Metropolitan,2016,7,11,Summer
151,Altona,2,u,580000.0,S,Barlow,13.8,2.0,1.0,1.0,225.0,1988.0,Hobsons Bay,Western Metropolitan,2016,8,10,Summer
152,Altona,3,h,1335000.0,S,hockingstuart,13.8,3.0,1.0,4.0,777.0,1953.0,Hobsons Bay,Western Metropolitan,2016,8,10,Summer
153,Altona,3,t,800000.0,SP,hockingstuart,13.8,3.0,2.0,2.0,280.0,1997.0,Hobsons Bay,Western Metropolitan,2016,8,10,Summer
154,Altona,2,u,510000.0,S,Village,13.8,2.0,1.0,1.0,127.0,1990.0,Hobsons Bay,Western Metropolitan,2016,10,9,Autumn
155,Altona,4,h,1070000.0,S,Barlow,13.8,4.0,2.0,2.0,695.0,,Hobsons Bay,Western Metropolitan,2016,10,9,Autumn
156,Altona,2,u,425000.0,S,hockingstuart,13.8,2.0,1.0,2.0,115.0,1980.0,Hobsons Bay,Western Metropolitan,2016,10,9,Autumn
157,Altona,3,u,605000.0,S,Jas,13.8,3.0,2.0,2.0,230.0,,Hobsons Bay,Western Metropolitan,2016,10,12,Autumn
158,Altona,3,t,705000.0,S,hockingstuart,13.8,3.0,2.0,2.0,197.0,,Hobsons Bay,Western Metropolitan,2017,11,2,Autumn
159,Altona,2,u,391000.0,SP,Greg,13.8,2.0,1.0,1.0,0.0,1965.0,Hobsons Bay,Western Metropolitan,2017,11,2,Autumn
160,Altona,2,u,440000.0,SP,hockingstuart,13.8,2.0,1.0,1.0,0.0,,Hobsons Bay,Western Metropolitan,2017,11,2,Autumn
161,Altona,4,h,845000.0,S,hockingstuart,13.8,4.0,1.0,2.0,745.0,1950.0,Hobsons Bay,Western Metropolitan,2017,11,2,Autumn
162,Altona,3,t,743000.0,SP,Gunn&Co,13.8,3.0,2.0,2.0,211.0,,Hobsons Bay,Western Metropolitan,2016,12,11,Winter
163,Altona,3,u,730000.0,SP,Barlow,13.8,3.0,2.0,1.0,69.0,2014.0,Hobsons Bay,Western Metropolitan,2016,8,13,Summer
164,Altona,3,h,635000.0,S,Sweeney,13.8,3.0,1.0,4.0,625.0,1960.0,Hobsons Bay,Western Metropolitan,2016,5,14,Spring
165,Altona,2,u,620000.0,SP,hockingstuart,13.8,2.0,1.0,1.0,168.0,,Hobsons Bay,Western Metropolitan,2016,5,14,Spring
166,Altona,2,u,447000.0,S,Burnham,13.8,2.0,1.0,1.0,137.0,1990.0,Hobsons Bay,Western Metropolitan,2016,10,15,Autumn
167,Altona,3,u,730000.0,SP,Barlow,13.8,3.0,2.0,1.0,70.0,,Hobsons Bay,Western Metropolitan,2016,4,16,Spring
168,Altona,3,h,678000.0,S,hockingstuart,13.8,3.0,1.0,2.0,606.0,1950.0,Hobsons Bay,Western Metropolitan,2016,4,16,Spring
169,Altona,2,u,580000.0,PI,Biggin,13.8,2.0,2.0,1.0,175.0,2013.0,Hobsons Bay,Western Metropolitan,2016,7,16,Summer
170,Altona,3,h,712000.0,S,hockingstuart,13.8,3.0,1.0,2.0,363.0,,Hobsons Bay,Western Metropolitan,2016,9,17,Autumn
171,Altona,3,h,840000.0,SP,Greg,13.8,3.0,2.0,2.0,534.0,1965.0,Hobsons Bay,Western Metropolitan,2017,3,18,Spring
172,Altona,3,h,980000.0,S,Barlow,13.8,3.0,1.0,2.0,724.0,,Hobsons Bay,Western Metropolitan,2016,11,19,Autumn
173,Altona,3,t,605100.0,S,hockingstuart,13.8,3.0,2.0,0.0,265.0,,Hobsons Bay,Western Metropolitan,2016,5,22,Spring
174,Altona,3,h,880000.0,PI,Barlow,13.8,3.0,3.0,1.0,577.0,,Hobsons Bay,Western Metropolitan,2016,8,22,Summer
175,Altona,3,u,577000.0,S,Williams,13.8,3.0,2.0,1.0,205.0,2007.0,Hobsons Bay,Western Metropolitan,2016,4,23,Spring
176,Altona,4,h,1030000.0,S,Barlow,13.8,4.0,1.0,0.0,797.0,,Hobsons Bay,Western Metropolitan,2017,2,25,Winter
177,Altona,3,u,605000.0,S,Barlow,13.8,3.0,1.0,2.0,181.0,,Hobsons Bay,Western Metropolitan,2017,2,25,Winter
178,Altona,3,h,753000.0,S,Barlow,13.8,3.0,2.0,2.0,529.0,,Hobsons Bay,Western Metropolitan,2016,6,27,Summer
179,Altona,2,h,857000.0,SP,hockingstuart,13.8,2.0,2.0,1.0,675.0,1950.0,Hobsons Bay,Western Metropolitan,2016,11,27,Autumn
180,Altona,3,h,1500000.0,S,Barlow,13.8,3.0,1.0,1.0,929.0,,Hobsons Bay,Western Metropolitan,2016,5,28,Spring
181,Altona,3,u,730000.0,SP,Barlow,13.8,3.0,2.0,1.0,70.0,2014.0,Hobsons Bay,Western Metropolitan,2016,5,28,Spring
182,Altona,3,h,900000.0,S,Sweeney,13.8,3.0,1.0,4.0,697.0,,Hobsons Bay,Western Metropolitan,2016,5,28,Spring
